report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2005/2006,WA,Mercury & compounds,10024.729767105911,15.437358783960866,83.42610359753175,169
2006/2007,ACT,Cadmium & compounds,5.564000038430095,0.2,0.0,5
2006/2007,ACT,Lead & compounds,49.24549834057688,0.7,0.0,5
2006/2007,ACT,Mercury & compounds,5.25690005836077,0.3,0.0,6
2006/2007,NSW,Cadmium & compounds,676.3534452,6.31014,6.2143,187
2006/2007,NSW,Lead & compounds,15361.4788947,637.2575,31.9721,219
2006/2007,NSW,Mercury & compounds,1362.0465938,61.679190000000006,0.2424,180
2006/2007,NT,Cadmium & compounds,751.7878253081182,38.32893425491266,2.0131886370606313,26
2006/2007,NT,Lead & compounds,71555.73921073505,35.2484813550663,32.23961714436637,27
2006/2007,NT,Mercury & compounds,517.4205034961468,2.320521107809618,0.4439545871161844,22
2006/2007,QLD,Cadmium & compounds,6665.1559,56.752621500000004,260.16549960000003,310
2006/2007,QLD,Lead & compounds,367026.7477,291.697042,747.3031996,320
2006/2007,QLD,Mercury & compounds,1933.585179446,4.0926528,5.070409,273
2006/2007,SA,Cadmium & compounds,3402.822030093,636.61,0.22721339,77
2006/2007,SA,Lead & compounds,62750.0218410412,4979.3,51.572513830000005,79
2006/2007,SA,Mercury & compounds,173.16160101206327,27.1,0.051071689,79
2006/2007,TAS,Cadmium & compounds,220.56446427054527,923.7940085828304,0.3678642330899531,42
2006/2007,TAS,Lead & compounds,4228.12372512219,11527.897509562968,104.93397352408988,46
2006/2007,TAS,Mercury & compounds,138.12421670574386,20.98215799331956,2.0941330835058993,43
2006/2007,VIC,Cadmium & compounds,383.0908,202.09,81.0159573,204
2006/2007,VIC,Lead & compounds,6400.19321,461.482,977.4186940000001,223
2006/2007,VIC,Mercury & compounds,220.1060943,39.8298,19.29929044,212
2006/2007,WA,Cadmium & compounds,1952.0523917543,978.1230725904455,115.70767511479754,178
