year,sex,cancer_type,cancer_cases,cancer_deaths,fatality_ratio
1992,females,Cervical cancer,1024.0,322.0,0.314453
1992,females,Chronic lymphocytic leukaemia,250.0,98.0,0.392
1992,females,Chronic myeloid leukaemia,111.0,93.0,0.837838
1992,females,Colon cancer,3189.0,1548.0,0.485419
1992,females,Head and neck excluding lip,578.0,202.0,0.349481
1992,females,Head and neck including lip,858.0,207.0,0.241259
1992,females,Hodgkin lymphoma,175.0,40.0,0.228571
1992,females,Kidney cancer,571.0,283.0,0.495622
1992,females,Laryngeal cancer,66.0,24.0,0.363636
1992,females,Liver cancer,106.0,136.0,1.283019
1992,females,Lung cancer,2029.0,1720.0,0.847708
1992,females,Melanoma of the skin,2980.0,344.0,0.115436
1992,females,Myeloma,355.0,263.0,0.740845
1992,females,Non-Hodgkin lymphoma,1186.0,583.0,0.491568
1992,females,Oesophageal cancer,321.0,258.0,0.803738
1992,females,Ovarian cancer,1036.0,663.0,0.639961
1992,females,Pancreatic cancer,741.0,719.0,0.97031
1992,females,Rectal cancer,1359.0,401.0,0.29507
1992,females,Stomach cancer,638.0,478.0,0.749216
1992,females,Thyroid cancer,509.0,45.0,0.088409
1992,females,Tongue cancer,117.0,46.0,0.393162
1992,females,Unknown primary site,1369.0,988.0,0.721695
1992,females,Uterine cancer,1241.0,237.0,0.190975
1992,males,Acute lymphoblastic leukaemia,139.0,81.0,0.582734
1992,males,Acute myeloid leukaemia,341.0,290.0,0.85044
1992,males,Anal cancer,35.0,8.0,0.228571
1992,males,Bladder cancer,1604.0,498.0,0.310474
1992,males,Bowel cancer,5129.0,2284.0,0.445311
1992,males,Brain cancer,668.0,542.0,0.811377
1992,males,Breast cancer,48.0,19.0,0.395833
1992,males,Chronic lymphocytic leukaemia,389.0,126.0,0.323907
1992,males,Chronic myeloid leukaemia,173.0,117.0,0.676301
1992,males,Colon cancer,3161.0,1641.0,0.51914
1992,males,Head and neck excluding lip,1822.0,745.0,0.408891
1992,males,Head and neck including lip,2621.0,757.0,0.288821
1992,males,Hodgkin lymphoma,191.0,41.0,0.21466
1992,males,Kidney cancer,878.0,385.0,0.438497
1992,males,Laryngeal cancer,609.0,240.0,0.394089
1992,males,Liver cancer,343.0,332.0,0.96793
1992,males,Lung cancer,5156.0,4639.0,0.899728
1992,males,Melanoma of the skin,3582.0,523.0,0.146008
1992,males,Myeloma,420.0,279.0,0.664286
1992,males,Non-Hodgkin lymphoma,1484.0,674.0,0.454178
1992,males,Oesophageal cancer,539.0,555.0,1.029685
1992,males,Pancreatic cancer,759.0,726.0,0.956522
1992,males,Prostate cancer,7924.0,2337.0,0.294927
1992,males,Rectal cancer,1968.0,643.0,0.326728
1992,males,Stomach cancer,1178.0,753.0,0.639219
1992,males,Testicular cancer,491.0,25.0,0.050916
1992,males,Thyroid cancer,180.0,37.0,0.205556
1992,males,Tongue cancer,258.0,116.0,0.449612
1992,males,Unknown primary site,1472.0,1070.0,0.726902
1992,persons,Acute lymphoblastic leukaemia,267.0,146.0,0.546816
1992,persons,Acute myeloid leukaemia,605.0,529.0,0.87438
1992,persons,Anal cancer,38.0,11.0,0.289474
1992,persons,Bladder cancer,2086.0,723.0,0.346596
1992,persons,Bowel cancer,9677.0,4233.0,0.437429
1992,persons,Brain cancer,1158.0,958.0,0.827288
1992,persons,Breast cancer,8056.0,2448.0,0.303873
1992,persons,Chronic lymphocytic leukaemia,639.0,224.0,0.350548
1992,persons,Chronic myeloid leukaemia,284.0,210.0,0.739437
1992,persons,Colon cancer,6350.0,3189.0,0.502205
1992,persons,Head and neck excluding lip,2400.0,947.0,0.394583
1992,persons,Head and neck including lip,3479.0,964.0,0.277091
1992,persons,Hodgkin lymphoma,366.0,81.0,0.221311
1992,persons,Kidney cancer,1449.0,668.0,0.461008
1992,persons,Laryngeal cancer,675.0,264.0,0.391111
1992,persons,Liver cancer,449.0,468.0,1.042316
1992,persons,Lung cancer,7185.0,6359.0,0.885038
1992,persons,Melanoma of the skin,6562.0,867.0,0.132124
1992,persons,Myeloma,775.0,542.0,0.699355
1992,persons,Non-Hodgkin lymphoma,2670.0,1257.0,0.470787
1992,persons,Oesophageal cancer,860.0,813.0,0.945349
1992,persons,Pancreatic cancer,1500.0,1445.0,0.963333
1992,persons,Rectal cancer,3327.0,1044.0,0.313796
1992,persons,Stomach cancer,1816.0,1231.0,0.677863
1992,persons,Thyroid cancer,689.0,82.0,0.119013
1992,persons,Tongue cancer,375.0,162.0,0.432
1992,persons,Unknown primary site,2841.0,2058.0,0.724393
1993,females,Acute lymphoblastic leukaemia,116.0,79.0,0.681034
